fingerprint,model,feature_count,accuracy,f1,precision,recall,roc_auc,timestamp,random_seed,seed_run
morgan,RandomForest,2048,0.7771428571428571,0.8528301886792454,0.7847222222222222,0.9338842975206612,0.8590449954086318,2025-06-08T15:28:58.942501,7,1
morgan,GradientBoosting,2048,0.7371428571428571,0.8114754098360656,0.8048780487804879,0.8181818181818182,0.8458830731558004,2025-06-08T15:29:05.083257,7,1
morgan,AdaBoost,2048,0.7371428571428571,0.8050847457627119,0.8260869565217391,0.7851239669421488,0.8050964187327824,2025-06-08T15:29:07.390912,7,1
morgan,XGBoost,2048,0.7714285714285715,0.8360655737704918,0.8292682926829268,0.8429752066115702,0.8480257116620753,2025-06-08T15:29:07.712947,7,1
morgan,LightGBM,2048,0.7657142857142857,0.8284518828451883,0.8389830508474576,0.8181818181818182,0.8515457606366698,2025-06-08T15:29:07.895135,7,1
morgan,SVM_linear,2048,0.7771428571428571,0.8281938325991189,0.8867924528301887,0.7768595041322314,0.8327211509029692,2025-06-08T15:29:09.348671,7,1
morgan,LogisticRegression,2048,0.7714285714285715,0.8305084745762712,0.8521739130434782,0.8099173553719008,0.827364554637282,2025-06-08T15:29:09.575999,7,1
morgan,MLP,2048,0.7428571428571429,0.811715481171548,0.8220338983050848,0.8016528925619835,0.827364554637282,2025-06-08T15:29:12.634256,7,1
morgan,NaiveBayes,2048,0.6,0.6634615384615384,0.7931034482758621,0.5702479338842975,0.67363024181206,2025-06-08T15:29:12.690763,7,1
morgan,KNN,2048,0.7542857142857143,0.8365019011406843,0.7746478873239436,0.9090909090909091,0.8029537802265074,2025-06-08T15:29:12.842269,7,1
morgan,DecisionTree,2048,0.7371428571428571,0.8308823529411764,0.7483443708609272,0.9338842975206612,0.7676002448729721,2025-06-08T15:29:12.978991,7,1
maccs,RandomForest,167,0.76,0.8306451612903227,0.8110236220472441,0.8512396694214877,0.8217018671564127,2025-06-08T15:29:13.169821,7,1
maccs,GradientBoosting,167,0.8171428571428572,0.8688524590163934,0.8617886178861789,0.8760330578512396,0.8553719008264463,2025-06-08T15:29:13.670681,7,1
maccs,AdaBoost,167,0.7428571428571429,0.8132780082987552,0.8166666666666667,0.8099173553719008,0.7306397306397306,2025-06-08T15:29:13.894918,7,1
maccs,XGBoost,167,0.7771428571428571,0.8340425531914893,0.8596491228070176,0.8099173553719008,0.8164983164983164,2025-06-08T15:29:13.943934,7,1
maccs,LightGBM,167,0.7828571428571428,0.8429752066115702,0.8429752066115702,0.8429752066115702,0.8348637894092439,2025-06-08T15:29:13.977062,7,1
maccs,SVM_linear,167,0.7485714285714286,0.8166666666666667,0.8235294117647058,0.8099173553719008,0.7361493725130089,2025-06-08T15:29:15.501964,7,1
maccs,LogisticRegression,167,0.7142857142857143,0.7916666666666666,0.7983193277310925,0.7851239669421488,0.7381389654116927,2025-06-08T15:29:15.528967,7,1
maccs,MLP,167,0.72,0.794979079497908,0.8050847457627118,0.7851239669421488,0.8065503520048974,2025-06-08T15:29:16.013112,7,1
maccs,NaiveBayes,167,0.68,0.8095238095238095,0.6878612716763006,0.9834710743801653,0.6320783593510866,2025-06-08T15:29:16.024000,7,1
maccs,KNN,167,0.7485714285714286,0.808695652173913,0.8532110091743119,0.768595041322314,0.7865779002142639,2025-06-08T15:29:16.048551,7,1
maccs,DecisionTree,167,0.6742857142857143,0.7348837209302326,0.8404255319148937,0.6528925619834711,0.7621671258034896,2025-06-08T15:29:16.068561,7,1
descriptors,RandomForest,40,0.76,0.8306451612903227,0.8110236220472441,0.8512396694214877,0.8177226813590449,2025-06-08T15:29:16.295155,7,1
descriptors,GradientBoosting,40,0.7657142857142857,0.8298755186721992,0.8333333333333334,0.8264462809917356,0.8344046525864708,2025-06-08T15:29:19.345999,7,1
descriptors,AdaBoost,40,0.7085714285714285,0.7866108786610878,0.7966101694915254,0.7768595041322314,0.7539026629935721,2025-06-08T15:29:20.058307,7,1
descriptors,XGBoost,40,0.76,0.8278688524590164,0.8211382113821138,0.8347107438016529,0.8304254667891031,2025-06-08T15:29:20.127318,7,1
descriptors,LightGBM,40,0.7428571428571429,0.8101265822784811,0.8275862068965517,0.7933884297520661,0.8229262320171411,2025-06-08T15:29:20.160320,7,1
descriptors,SVM_linear,40,0.7428571428571429,0.8148148148148149,0.8114754098360656,0.8181818181818182,0.6893174165901439,2025-06-08T15:29:20.501518,7,1
descriptors,LogisticRegression,40,0.7028571428571428,0.7868852459016394,0.7804878048780488,0.7933884297520661,0.7086011631466177,2025-06-08T15:29:20.517106,7,1
descriptors,MLP,40,0.7085714285714285,0.7811158798283263,0.8125,0.7520661157024794,0.8022650749923478,2025-06-08T15:29:21.323811,7,1
descriptors,NaiveBayes,40,0.64,0.7272727272727274,0.7636363636363637,0.6942148760330579,0.5869299051117235,2025-06-08T15:29:21.330810,7,1
descriptors,KNN,40,0.7485714285714286,0.824,0.7984496124031008,0.8512396694214877,0.7715029078665443,2025-06-08T15:29:21.350720,7,1
descriptors,DecisionTree,40,0.6628571428571428,0.737777777777778,0.7980769230769231,0.6859504132231405,0.6932966023875116,2025-06-08T15:29:21.405229,7,1
topological,RandomForest,2048,0.8,0.8559670781893004,0.8524590163934426,0.859504132231405,0.8674625038261402,2025-06-08T15:29:21.663122,7,1
topological,GradientBoosting,2048,0.7942857142857143,0.8474576271186441,0.8695652173913043,0.8264462809917356,0.8752678298132844,2025-06-08T15:29:34.059053,7,1
topological,AdaBoost,2048,0.76,0.8278688524590164,0.8211382113821138,0.8347107438016529,0.8181818181818182,2025-06-08T15:29:37.500245,7,1
topological,XGBoost,2048,0.7714285714285715,0.8347107438016529,0.8347107438016529,0.8347107438016529,0.8388429752066116,2025-06-08T15:29:37.849274,7,1
topological,LightGBM,2048,0.7771428571428571,0.8381742738589212,0.8416666666666667,0.8347107438016529,0.8463422099785736,2025-06-08T15:29:38.183066,7,1
topological,SVM_linear,2048,0.7085714285714285,0.7792207792207793,0.8181818181818182,0.743801652892562,0.7618610345883072,2025-06-08T15:29:39.778378,7,1
topological,LogisticRegression,2048,0.7371428571428571,0.8034188034188033,0.831858407079646,0.7768595041322314,0.7716559534741354,2025-06-08T15:29:40.242283,7,1
topological,MLP,2048,0.76,0.8235294117647057,0.8376068376068376,0.8099173553719008,0.8334863789409244,2025-06-08T15:29:42.724130,7,1
topological,NaiveBayes,2048,0.7028571428571428,0.7699115044247787,0.8285714285714286,0.71900826446281,0.757499234771962,2025-06-08T15:29:42.778640,7,1
topological,KNN,2048,0.7942857142857143,0.8524590163934428,0.8455284552845529,0.859504132231405,0.8299663299663299,2025-06-08T15:29:42.859641,7,1
topological,DecisionTree,2048,0.7485714285714286,0.8151260504201682,0.8290598290598291,0.8016528925619835,0.7204621977349251,2025-06-08T15:29:43.150421,7,1
rdkit_fp,RandomForest,2048,0.7828571428571428,0.8416666666666667,0.8487394957983193,0.8347107438016529,0.8304254667891031,2025-06-08T15:29:43.399988,7,1
rdkit_fp,GradientBoosting,2048,0.7885714285714286,0.8412017167381973,0.875,0.8099173553719008,0.8414447505356597,2025-06-08T15:29:56.062643,7,1
rdkit_fp,AdaBoost,2048,0.7257142857142858,0.8048780487804879,0.792,0.8181818181818182,0.7514539332721152,2025-06-08T15:29:59.463020,7,1
rdkit_fp,XGBoost,2048,0.7771428571428571,0.8395061728395061,0.8360655737704918,0.8429752066115702,0.844964799510254,2025-06-08T15:29:59.812548,7,1
rdkit_fp,LightGBM,2048,0.7714285714285715,0.8333333333333334,0.8403361344537815,0.8264462809917356,0.8429752066115702,2025-06-08T15:30:00.151477,7,1
rdkit_fp,SVM_linear,2048,0.6971428571428572,0.7725321888412017,0.8035714285714286,0.743801652892562,0.7525252525252526,2025-06-08T15:30:01.666627,7,1
rdkit_fp,LogisticRegression,2048,0.7142857142857143,0.7844827586206897,0.8198198198198198,0.7520661157024794,0.7849709213345577,2025-06-08T15:30:02.020888,7,1
rdkit_fp,MLP,2048,0.76,0.825,0.8319327731092437,0.8181818181818182,0.8336394245485156,2025-06-08T15:30:04.322019,7,1
rdkit_fp,NaiveBayes,2048,0.7085714285714285,0.7935222672064778,0.7777777777777778,0.8099173553719008,0.7235996326905418,2025-06-08T15:30:04.384384,7,1
rdkit_fp,KNN,2048,0.7942857142857143,0.8512396694214878,0.8512396694214877,0.8512396694214877,0.842516069788797,2025-06-08T15:30:04.475891,7,1
rdkit_fp,DecisionTree,2048,0.6857142857142857,0.7755102040816327,0.7661290322580645,0.7851239669421488,0.5562442607897153,2025-06-08T15:30:04.762004,7,1
morgan_features,RandomForest,2048,0.7657142857142857,0.844106463878327,0.7816901408450704,0.9173553719008265,0.864248546066728,2025-06-08T15:30:04.999737,7,1
morgan_features,GradientBoosting,2048,0.7885714285714286,0.8537549407114625,0.8181818181818182,0.8925619834710744,0.8659320477502296,2025-06-08T15:30:11.280408,7,1
morgan_features,AdaBoost,2048,0.76,0.8220338983050848,0.8434782608695652,0.8016528925619835,0.8532292623201714,2025-06-08T15:30:13.735716,7,1
morgan_features,XGBoost,2048,0.7771428571428571,0.8381742738589212,0.8416666666666667,0.8347107438016529,0.8572084481175389,2025-06-08T15:30:13.973525,7,1
morgan_features,LightGBM,2048,0.7942857142857143,0.8524590163934428,0.8455284552845529,0.859504132231405,0.8637894092439548,2025-06-08T15:30:14.084077,7,1
morgan_features,SVM_linear,2048,0.7485714285714286,0.8166666666666667,0.8235294117647058,0.8099173553719008,0.7572696663605755,2025-06-08T15:30:15.540149,7,1
morgan_features,LogisticRegression,2048,0.7428571428571429,0.8101265822784811,0.8275862068965517,0.7933884297520661,0.8148148148148148,2025-06-08T15:30:15.769691,7,1
morgan_features,MLP,2048,0.76,0.8264462809917356,0.8264462809917356,0.8264462809917356,0.827823691460055,2025-06-08T15:30:18.093118,7,1
morgan_features,NaiveBayes,2048,0.6,0.6666666666666666,0.7865168539325843,0.5785123966942148,0.6671258034894398,2025-06-08T15:30:18.145486,7,1
morgan_features,KNN,2048,0.7542857142857143,0.8377358490566039,0.7708333333333334,0.9173553719008265,0.8225436179981634,2025-06-08T15:30:18.235405,7,1
morgan_features,DecisionTree,2048,0.7542857142857143,0.8122270742358079,0.8611111111111112,0.768595041322314,0.7874961738598102,2025-06-08T15:30:18.386923,7,1
